Count,x,y,mod1
148,79.46726118,72.89473684,TRUE
149,79.64583261,72.89473684,FALSE
150,95.53868975,58.68421053,TRUE
151,95.71726118,58.42105263,FALSE
152,62.50297546,86.05263158,TRUE
153,62.50297546,86.31578947,FALSE
154,74.64583261,67.10526316,TRUE
155,74.82440404,67.36842105,FALSE
156,68.39583261,67.10526316,TRUE
157,68.21726118,67.10526316,FALSE
158,69.46726118,69.73684211,TRUE
159,69.46726118,70.26315789,FALSE
160,93.75297546,51.05263158,TRUE
161,87.68154689,45,FALSE
162,66.25297546,10.78947368,TRUE
163,66.25297546,10.78947368,FALSE
164,81.96726118,23.68421053,TRUE
165,75.71726118,25,FALSE
166,76.43154689,45.26315789,TRUE
167,76.43154689,48.15789474,FALSE
168,76.43154689,77.36842105,TRUE
169,44.11011832,73.15789474,FALSE
170,33.03868975,93.94736842,TRUE
171,32.86011832,94.21052632,FALSE
172,48.39583261,91.31578947,TRUE
173,48.57440404,91.31578947,FALSE
174,69.64583261,62.36842105,TRUE
175,64.11011832,52.10526316,FALSE
176,60.71726118,25.52631579,TRUE
177,53.93154689,22.89473684,FALSE
178,68.75297546,48.15789474,TRUE
179,60.53868975,44.47368421,FALSE
180,58.03868975,18.68421053,TRUE
181,58.21726118,18.42105263,FALSE
182,15.71726118,22.89473684,TRUE
183,13.21726118,22.63157895,FALSE
184,16.25297546,29.73684211,TRUE
185,59.64583261,67.10526316,FALSE
186,58.21726118,94.47368421,TRUE
187,53.93154689,88.68421053,FALSE
188,43.57440404,26.05263158,TRUE
189,43.75297546,26.57894737,FALSE
190,73.03868975,16.31578947,TRUE
191,56.61011832,11.57894737,FALSE
192,62.50297546,41.31578947,TRUE
193,62.50297546,41.57894737,FALSE
194,59.11011832,72.63157895,TRUE
195,52.50297546,82.63157895,FALSE
196,36.61011832,94.21052632,TRUE
197,36.78868975,94.73684211,FALSE
198,53.75297546,90.78947368,TRUE
199,53.57440404,87.89473684,FALSE
200,62.50297546,58.15789474,TRUE
201,57.14583261,51.57894737,FALSE
202,56.61011832,23.42105263,TRUE
203,48.75297546,22.89473684,FALSE
204,56.43154689,42.63157895,TRUE
205,54.82440404,51.05263158,FALSE
206,55.89583261,71.84210526,TRUE
207,47.86011832,76.57894737,FALSE
208,64.46726118,64.21052632,TRUE
209,56.07440404,10.52631579,FALSE
210,63.39583261,6.578947368,TRUE
211,54.82440404,5.263157895,FALSE
212,43.75297546,12.10526316,TRUE
213,44.28868975,32.89473684,FALSE
214,26.96726118,90.26315789,TRUE
215,26.96726118,83.94736842,FALSE
216,33.93154689,71.57894737,TRUE
217,34.11011832,72.10526316,FALSE
218,35.71726118,63.15789474,TRUE
219,36.78868975,64.47368421,FALSE
220,69.46726118,63.94736842,TRUE
221,28.39583261,62.89473684,FALSE
222,28.39583261,49.73684211,TRUE
223,24.46726118,50.78947368,FALSE
224,27.86011832,62.63157895,TRUE
225,27.14583261,61.84210526,FALSE
226,34.11011832,37.36842105,TRUE
227,34.28868975,37.36842105,FALSE
228,22.32440404,3.947368421,TRUE
229,10.00297546,86.57894737,FALSE
230,9.645832607,99.47368421,TRUE
231,31.78868975,73.94736842,FALSE
232,26.78868975,62.89473684,TRUE
233,26.78868975,63.42105263,FALSE
234,29.82440404,52.10526316,TRUE
235,31.96726118,49.73684211,FALSE
236,47.14583261,42.36842105,TRUE
237,52.86011832,41.57894737,FALSE
238,84.11011832,50,TRUE
239,83.57440404,50,FALSE
240,78.57440404,88.94736842,TRUE
241,78.39583261,91.31578947,FALSE
242,92.86011832,58.42105263,TRUE
243,82.50297546,47.36842105,FALSE
244,76.25297546,25.26315789,TRUE
245,76.25297546,26.31578947,FALSE
246,86.61011832,50,TRUE
247,77.32440404,50,FALSE
248,68.75297546,43.68421053,TRUE
249,68.75297546,43.68421053,FALSE
250,86.78868975,26.31578947,TRUE
251,71.61011832,8.947368421,FALSE
252,93.57440404,55.26315789,TRUE
253,82.68154689,50.52631579,FALSE
254,60.36011832,7.368421053,TRUE
255,48.03868975,11.31578947,FALSE
256,16.25297546,15.26315789,TRUE
257,5.895832607,23.94736842,FALSE
258,14.82440404,37.63157895,TRUE
259,73.57440404,87.10526316,FALSE
260,80.00297546,73.68421053,TRUE
261,96.25297546,63.42105263,FALSE
262,97.14583261,50,TRUE
263,93.39583261,51.05263158,FALSE
264,43.93154689,64.73684211,TRUE
265,78.21726118,57.10526316,FALSE
266,62.32440404,31.84210526,TRUE
267,62.32440404,12.36842105,FALSE
268,46.96726118,4.736842105,TRUE
269,32.50297546,25.78947368,FALSE
270,0.7172611782,85.52631579,TRUE
271,5.002975464,94.47368421,FALSE
272,17.14583261,85.78947368,TRUE
273,17.50297546,86.05263158,FALSE
274,31.96726118,83.42105263,TRUE
275,32.14583261,83.68421053,FALSE
276,44.64583261,66.31578947,TRUE
277,45.00297546,65.26315789,FALSE
278,39.46726118,15,TRUE
279,35.53868975,15,FALSE
280,24.82440404,2.894736842,TRUE
281,24.82440404,4.210526316,FALSE
282,34.46726118,20,TRUE
283,34.82440404,21.05263158,FALSE
284,41.07440404,43.42105263,TRUE
285,42.86011832,47.36842105,FALSE
286,36.43154689,64.73684211,TRUE
287,36.07440404,66.57894737,FALSE
288,20.00297546,90,TRUE
289,21.61011832,88.68421053,FALSE
290,33.39583261,86.05263158,TRUE
291,33.93154689,84.47368421,FALSE
292,43.57440404,37.63157895,TRUE
293,37.14583261,24.21052632,FALSE
294,18.93154689,82.89473684,TRUE
295,20.18154689,82.10526316,FALSE
296,32.32440404,77.10526316,TRUE
297,58.39583261,53.94736842,FALSE
298,64.46726118,34.73684211,TRUE
299,63.75297546,34.73684211,FALSE
300,73.21726118,40,TRUE
301,73.21726118,40.78947368,FALSE
302,73.75297546,55,TRUE
303,73.93154689,55.26315789,FALSE
304,71.61011832,76.57894737,TRUE
305,71.61011832,76.84210526,FALSE
306,53.39583261,91.31578947,TRUE
307,53.57440404,91.84210526,FALSE
308,64.11011832,85.26315789,TRUE
309,64.28868975,84.21052632,FALSE
310,68.39583261,54.73684211,TRUE
311,68.03868975,54.21052632,FALSE
312,65.71726118,31.84210526,TRUE
313,63.21726118,31.57894737,FALSE
314,70.36011832,46.84210526,TRUE
315,70.18154689,47.89473684,FALSE
316,58.75297546,82.63157895,TRUE
317,85.00297546,98.15789474,FALSE
318,95.00297546,62.10526316,TRUE
319,86.78868975,40.78947368,FALSE
320,58.03868975,21.84210526,TRUE
321,58.75297546,66.05263158,FALSE
322,65.18154689,58.15789474,TRUE
323,65.00297546,53.42105263,FALSE
324,63.75297546,25.52631579,TRUE
325,63.93154689,25.52631579,FALSE
326,29.64583261,8.947368421,TRUE
327,47.14583261,13.68421053,FALSE
328,32.32440404,2.631578947,TRUE
329,31.43154689,5.263157895,FALSE
330,28.93154689,10.26315789,TRUE
331,28.93154689,10.52631579,FALSE
332,17.68154689,7.105263158,TRUE
333,17.68154689,7.105263158,FALSE
334,25.71726118,25.52631579,TRUE
335,54.46726118,23.42105263,FALSE
336,71.25297546,26.05263158,TRUE
337,52.32440404,35.52631579,FALSE
338,55.00297546,70,TRUE
339,53.39583261,69.21052632,FALSE
340,59.82440404,47.10526316,TRUE
341,59.82440404,47.89473684,FALSE
342,59.64583261,70,TRUE
343,59.64583261,70,FALSE
344,69.28868975,55.26315789,TRUE
345,69.28868975,55.26315789,FALSE
346,87.50297546,52.89473684,TRUE
347,63.93154689,23.94736842,FALSE
348,58.57440404,7.368421053,TRUE
349,93.93154689,56.05263158,FALSE
350,79.11011832,73.94736842,TRUE
351,79.11011832,74.47368421,FALSE
352,66.25297546,83.68421053,TRUE
353,66.43154689,83.94736842,FALSE
354,66.78868975,80.26315789,TRUE
355,27.32440404,97.89473684,FALSE
356,33.75297546,81.57894737,TRUE
357,33.75297546,81.57894737,FALSE
358,37.32440404,20.78947368,TRUE
359,46.96726118,8.684210526,FALSE
360,7.502975464,81.31578947,TRUE
361,75.00297546,85.78947368,FALSE
362,57.14583261,72.36842105,TRUE
363,69.64583261,95.78947368,FALSE
364,76.25297546,72.36842105,TRUE
365,76.78868975,53.94736842,FALSE
366,69.28868975,28.94736842,TRUE
367,60.53868975,28.15789474,FALSE
368,70.18154689,51.05263158,TRUE
369,59.11011832,43.42105263,FALSE
370,6.252975464,12.89473684,TRUE
371,24.64583261,86.05263158,FALSE
372,35.71726118,81.84210526,TRUE
373,78.39583261,22.36842105,FALSE
374,94.11011832,51.05263158,TRUE
375,43.21726118,87.36842105,FALSE
376,33.75297546,65,TRUE
377,35.71726118,70,FALSE
378,43.21726118,87.63157895,TRUE
379,43.39583261,87.89473684,FALSE
380,59.64583261,76.31578947,TRUE
381,59.64583261,70.26315789,FALSE
382,66.43154689,26.05263158,TRUE
383,52.68154689,25.26315789,FALSE
384,39.82440404,21.84210526,TRUE
385,40.53868975,18.42105263,FALSE
386,26.61011832,2.105263158,TRUE
387,45.71726118,64.21052632,FALSE
388,47.14583261,35,TRUE
389,47.32440404,35.26315789,FALSE
390,55.36011832,47.89473684,TRUE
391,55.53868975,47.89473684,FALSE
392,48.03868975,27.89473684,TRUE
393,12.68154689,6.052631579,FALSE
394,30.53868975,5.526315789,TRUE
